Par,Moeda_Base,Moeda_Cotada,Carry_%,Carry_Rating,Divergencia_Politica,Preco_Atual,Entrada,Stop,TP1,TP2,Tendencia,R_R,Correlacao_WIN,Sentimento,Confianca_%,Recomendacao,Par_Alternativo,Timestamp
AUD/USD,AUD,USD,-1.9,negativo,moderada,0.6511688828468323,0.6479130384325981,0.6414013496041298,0.6609364160895347,0.6707039493322373,lateral,0.9999999999999887,negativo_moderado,0.017241379310344827,20,DESCARTAR,AUD/BRL,2025-11-05 23:29:29
USD/INR,USD,INR,0.0,desconhecido,moderada,88.61299896240234,88.16993396759032,87.2838039779663,89.94219394683837,91.27138893127442,lateral,0.9999999999999893,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/CNY,USD,CNY,0.0,desconhecido,moderada,7.123600006103516,7.087982006072998,7.016746006011963,7.2304540061950675,7.337308006286621,lateral,0.9999999999999917,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/SGD,USD,SGD,0.0,desconhecido,moderada,1.3054900169372559,1.2989625668525695,1.285907666683197,1.3250723671913145,1.3446547174453736,lateral,0.9999999999999887,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/HKD,USD,HKD,0.0,desconhecido,moderada,7.774139881134033,7.735269181728363,7.657527782917023,7.890751979351043,8.007364077568054,lateral,0.9999999999999923,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/DKK,USD,DKK,0.0,desconhecido,moderada,6.4860100746154785,6.4535800242424015,6.388719923496247,6.58330022573471,6.680590376853943,lateral,1.0,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/SEK,USD,SEK,0.0,desconhecido,moderada,9.552729606628418,9.504965958595276,9.409438662528991,9.696020550727843,9.839311494827271,lateral,0.9999999999999876,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/TRY,USD,TRY,0.0,desconhecido,moderada,42.10319900512695,41.892683010101315,41.47165102005005,42.73474699020385,43.366294975280766,lateral,0.9999999999999888,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/MXN,USD,MXN,0.0,desconhecido,moderada,18.60099983215332,18.507994832992555,18.32198483467102,18.88001482963562,19.15902982711792,lateral,1.0,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
USD/ZAR,USD,ZAR,0.0,desconhecido,moderada,17.39259910583496,17.305636110305787,17.131710119247437,17.653488092422485,17.91437707901001,lateral,1.0,negativo_moderado,0.017241379310344827,20,DESCARTAR,USD/BRL,2025-11-05 23:29:29
XAU/USD,XAU,USD,0.0,desconhecido,moderada,3986.89990234375,3966.965402832031,3927.0964038085935,4046.703400878906,4106.506899414063,lateral,0.9999999999999925,negativo_moderado,0.017241379310344827,20,DESCARTAR,,2025-11-05 23:29:29
BTC/USD,BTC,USD,0.0,desconhecido,moderada,102867.140625,102352.804921875,101324.133515625,104410.14773437499,105953.15484375,lateral,0.9999999999999906,negativo_moderado,0.017241379310344827,20,DESCARTAR,,2025-11-05 23:29:29
ETH/USD,ETH,USD,0.0,desconhecido,moderada,3393.2431640625,3376.2769482421877,3342.3445166015626,3444.1418115234374,3495.040458984375,lateral,1.0,negativo_moderado,0.017241379310344827,20,DESCARTAR,,2025-11-05 23:29:29
AUD/CAD,AUD,CAD,0.0,desconhecido,fraca,0.9177700281143188,0.9131811779737472,0.904003477692604,0.9315365785360336,0.9453031289577485,lateral,0.9999999999999919,neutro,0.017241379310344827,17,DESCARTAR,AUD/BRL,2025-11-05 23:29:29
GBP/CHF,GBP,CHF,0.0,desconhecido,fraca,1.0567200183868408,1.0514364182949065,1.0408692181110382,1.0725708186626433,1.0884216189384461,lateral,0.999999999999986,neutro,0.017241379310344827,17,DESCARTAR,GBP/BRL,2025-11-05 23:29:29
AUD/CHF,AUD,CHF,0.0,desconhecido,fraca,0.5265899896621704,0.5239570397138595,0.5186911398172378,0.5344888395071029,0.5423876893520355,lateral,0.9999999999999859,neutro,0.017241379310344827,17,DESCARTAR,AUD/BRL,2025-11-05 23:29:29
GBP/CAD,GBP,CAD,0.0,desconhecido,fraca,1.8415800333023071,1.8323721331357956,1.8139563328027726,1.8692037338018415,1.8968274343013765,lateral,0.999999999999992,neutro,0.017241379310344827,17,DESCARTAR,GBP/BRL,2025-11-05 23:29:29
CAD/CHF,CAD,CHF,0.0,desconhecido,fraca,0.5737500190734863,0.5708812689781189,0.565143768787384,0.5823562693595886,0.5909625196456909,lateral,1.0,neutro,0.017241379310344827,17,DESCARTAR,,2025-11-05 23:29:29
USD/BRL,USD,BRL,-5.75,negativo,fraca,5.359499931335449,5.332702431678772,5.279107432365417,5.4398924303054805,5.520284929275513,lateral,0.9999999999999889,negativo_forte,0.017241379310344827,10,DESCARTAR,USD/BRL,2025-11-05 23:29:29
